"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
252,CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,"Kelly Collister",Consumer,"United States","San Diego",California,92037,West,TEC-AC-10003832,Technology,Accessories,"Logitech P710e Mobile Speakerphone",3347.37,13,0,636.0003
336,CA-2015-137946,9/1/2015,9/4/2015,"Second Class",DB-13615,"Doug Bickford",Consumer,"United States","Los Angeles",California,90045,West,TEC-CO-10001449,Technology,Copiers,"Hewlett Packard LaserJet 3310 Copier",959.984,2,0.2,335.9944
407,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,"Keith Herrera",Consumer,"United States","San Francisco",California,94110,West,TEC-CO-10004115,Technology,Copiers,"Sharp AL-1530CS Digital Copier",1199.976,3,0.2,434.9913
461,CA-2015-109638,12/15/2015,12/22/2015,"Standard Class",JH-15985,"Joseph Holt",Consumer,"United States",Seattle,Washington,98115,West,TEC-AC-10004571,Technology,Accessories,"Logitech G700s Rechargeable Gaming Mouse",899.91,9,0,377.9622
516,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,TEC-CO-10003236,Technology,Copiers,"Canon Image Class D660 Copier",2999.95,5,0,1379.977
754,CA-2016-110499,4/7/2016,4/9/2016,"First Class",YC-21895,"Yoseph Carroll",Corporate,"United States","San Francisco",California,94110,West,TEC-CO-10002095,Technology,Copiers,"Hewlett Packard 610 Color Digital Copier / Printer",1199.976,3,0.2,374.9925
815,CA-2017-143686,5/14/2017,5/14/2017,"Same Day",PJ-19015,"Pauline Johnson",Consumer,"United States","Santa Ana",California,92704,West,TEC-AC-10001838,Technology,Accessories,"Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset",1399.93,7,0,601.9699
1190,CA-2017-117212,2/26/2017,2/28/2017,"Second Class",BT-11530,"Bradley Talbott","Home Office","United States","Los Angeles",California,90036,West,TEC-PH-10004447,Technology,Phones,"Toshiba IPT2010-SD IP Telephone",889.536,8,0.2,66.7152
1487,CA-2015-140410,11/3/2015,11/7/2015,"Standard Class",CM-12655,"Corinna Mitchell","Home Office","United States","Los Angeles",California,90008,West,TEC-PH-10003580,Technology,Phones,"Cisco IP Phone 7961G-GE VoIP phone",1212.848,7,0.2,106.1242
1625,CA-2015-157084,12/19/2015,12/24/2015,"Standard Class",JG-15160,"James Galang",Consumer,"United States","Los Angeles",California,90049,West,TEC-PH-10002922,Technology,Phones,"ShoreTel ShorePhone IP 230 VoIP phone",675.96,5,0.2,84.495
1626,CA-2015-157084,12/19/2015,12/24/2015,"Standard Class",JG-15160,"James Galang",Consumer,"United States","Los Angeles",California,90049,West,TEC-AC-10002049,Technology,Accessories,"Plantronics Savi W720 Multi-Device Wireless Headset System",1265.85,3,0,556.974
1645,CA-2015-111829,3/19/2015,3/20/2015,"First Class",FH-14365,"Fred Hopkins",Corporate,"United States",Seattle,Washington,98115,West,TEC-CO-10001766,Technology,Copiers,"Canon PC940 Copier",3149.93,7,0,1480.4671
1806,US-2016-116729,12/25/2016,12/28/2016,"First Class",GK-14620,"Grace Kelly",Corporate,"United States","Los Angeles",California,90049,West,TEC-PH-10002200,Technology,Phones,"Samsung Galaxy Note 2",2575.944,7,0.2,257.5944
1931,US-2017-101539,3/16/2017,3/18/2017,"Second Class",VM-21685,"Valerie Mitchum","Home Office","United States",Seattle,Washington,98105,West,TEC-PH-10004165,Technology,Phones,"Mitel MiVoice 5330e IP Phone",659.976,3,0.2,49.4982
2075,CA-2017-122504,11/7/2017,11/12/2017,"Second Class",DB-13270,"Deborah Brumfield","Home Office","United States",Brentwood,California,94513,West,TEC-PH-10002468,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",761.544,7,0.2,66.6351
2114,CA-2015-164882,10/31/2015,10/31/2015,"Same Day",SG-20080,"Sandra Glassco",Consumer,"United States",Redlands,California,92374,West,TEC-PH-10001578,Technology,Phones,"Polycom SoundStation2 EX Conference phone",1295.84,4,0.2,145.782
2221,CA-2017-130841,7/28/2017,8/1/2017,"Standard Class",MH-17620,"Matt Hagelstein",Corporate,"United States","San Francisco",California,94110,West,TEC-PH-10001817,Technology,Phones,"Wilson Electronics DB Pro Signal Booster",1145.6,4,0.2,100.24
2247,CA-2017-103380,11/21/2017,11/25/2017,"Standard Class",BF-11005,"Barry Franz","Home Office","United States",Pasadena,California,91104,West,TEC-PH-10004165,Technology,Phones,"Mitel MiVoice 5330e IP Phone",659.976,3,0.2,49.4982
2274,CA-2015-142944,3/6/2015,3/11/2015,"Standard Class",JL-15850,"John Lucas",Consumer,"United States","San Francisco",California,94122,West,TEC-CO-10003763,Technology,Copiers,"Canon PC1060 Personal Laser Copier",1119.984,2,0.2,377.9946
2405,CA-2017-108574,10/7/2017,10/11/2017,"Standard Class",MG-18145,"Mike Gockenbach",Consumer,"United States","Los Angeles",California,90045,West,TEC-AC-10002049,Technology,Accessories,"Logitech G19 Programmable Gaming Keyboard",1115.91,9,0,200.8638
2417,CA-2017-168655,10/12/2017,10/18/2017,"Standard Class",ML-18040,"Michelle Lonsdale",Corporate,"United States",Albuquerque,"New Mexico",87105,West,TEC-AC-10002842,Technology,Accessories,"WD My Passport Ultra 2TB Portable External Hard Drive",595,5,0,95.2
