"Customer Name",Total_Sales
"Sean Miller",25043.07
"Tamara Chand",19017.85
"Raymond Buch",15117.35
"Tom Ashbrook",14595.62
"Adrian Barton",14355.61
"Sanjit Chand",14142.34
"Ken Lonsdale",14071.92
"Hunter Lopez",12873.30
"Sanjit Engle",12209.44
"Christopher Conant",12129.08
"Todd Sumrall",11885.87
"Greg Tran",11820.12
"Becky Martin",11609.91
"Seth Vernon",11420.64
"Caroline Jumper",11079.74
"Clay Ludtke",10880.56
"Maria Etezadi",10635.92
"Karen Ferguson",10604.26
"Bill Shonely",10501.65
"Edward Hooks",10005.97
"John Lee",9403.02
"Grant Thornton",9351.20
"Helen Wasserman",9300.25
"Tom Boeckenhauer",9012.74
"Peter Fuller",8980.49
"Christopher Martinez",8954.01
"Justin Deggeller",8828.04
"Joe Elijah",8672.18
"Laura Armstrong",8631.53
"Daniel Raglin",8350.87
"Natalie Fritzler",8322.82
"Karen Daniels",8282.36
"Nick Crebassa",8241.74
"Keith Dawkins",8181.24
"Pete Kriz",8158.65
"Harry Marie",8148.84
"Sean Braxton",8057.89
"Zuschuss Carroll",8021.13
"Joseph Holt",7954.99
"Nora Preis",7903.18
"Anna Häberlin",7888.30
"Jim Epp",7754.97
"Adam Bellavance",7732.68
"Jane Waco",7721.71
"John Murray",7625.07
"Rick Wilson",7397.40
"Lena Creighton",7396.78
"Patrick O'Brill",7367.34
"Brian Moss",7283.81
"Natalie Webber",7234.02
"Dean percer",7198.77
"Paul Prost",7075.92
"Rick Huthwaite",6962.14
"Maribeth Schnelling",6848.30
"Penelope Sewall",6843.63
"Brenda Bowman",6765.73
"Fred Hopkins",6683.66
"Yana Sorensen",6654.50
"Andy Reiter",6608.45
"Grace Kelly",6497.28
"Joseph Airdo",6475.48
"Nathan Mautz",6459.34
"Jonathan Doherty",6456.46
"Sarah Brown",6411.00
"Joel Eaton",6400.45
"James Galang",6366.40
"Corinna Mitchell",6339.56
"Valerie Dominguez",6283.36
"Max Jones",6282.23
"Brosina Hoffman",6255.34
"Darrin Martin",6247.36
"Dan Reichenbach",6247.20
"Rob Lucas",6234.91
"Victoria Wilson",6112.70
"Quincy Jones",6108.34
"Alan Dominguez",6101.00
"Greg Maxwell",6049.96
"Cassandra Brandow",6028.24
"William Brown",6024.81
"Robert Marley",5967.73
"Keith Herrera",5952.86
"Shirley Daniels",5920.24
"Ben Ferrer",5907.97
"Shahid Collister",5894.18
"Christine Phan",5888.30
"Kristen Hastings",5867.85
"Cindy Stewart",5690.07
"Bill Donatelli",5672.18
"Anne McFarland",5653.86
"Ross Baird",5633.31
"Katherine Murray",5609.74
"Alex Avila",5563.56
