"Customer Name",Highest_Single_Order_Value
"Sean Miller",22638.48
"Tamara Chand",17499.95
"Raymond Buch",13999.96
"Tom Ashbrook",11199.97
"Hunter Lopez",10499.97
"Adrian Barton",9892.74
"Sanjit Chand",9449.95
"Bill Shonely",9099.93
"Sanjit Engle",8749.95
"Christopher Conant",8399.98
"Ken Lonsdale",8187.65
"Becky Martin",8159.95
"Grant Thornton",7999.98
"Tom Boeckenhauer",6999.96
"Christopher Martinez",6354.95
"Andy Reiter",5443.96
"Daniel Raglin",5399.91
"Todd Sumrall",5199.96
"Jane Waco",5083.96
"Edward Hooks",4912.59
"Karen Daniels",4899.93
"Harry Marie",4899.93
"Nick Crebassa",4799.98
"Joseph Airdo",4663.74
"Keith Dawkins",4643.80
"John Murray",4548.81
"Dennis Pardue",4535.98
"Cindy Stewart",4499.99
"Max Jones",4476.80
"Tom Prescott",4416.17
"Quincy Jones",4404.90
"Patrick O'Brill",4367.90
"Adam Bellavance",4355.17
"Pete Kriz",4305.55
"Joseph Holt",4297.64
"Peter Fuller",4228.70
"Cathy Prescott",4164.05
"Greg Maxwell",4164.05
"Karen Ferguson",4158.91
"Greg Tran",4007.84
"Caroline Jumper",3999.95
"Nathan Mautz",3991.98
"Alex Avila",3930.07
"Shirley Daniels",3812.97
"Luke Weiss",3785.29
"Nora Preis",3610.85
"Laura Armstrong",3504.90
"Kristen Hastings",3499.93
"Maribeth Schnelling",3406.66
"Steven Roelle",3404.50
"Ellis Ballard",3393.68
"Penelope Sewall",3359.95
"Rick Huthwaite",3357.60
"Kelly Collister",3347.37
"Gary Hwang",3266.38
"Fred Hopkins",3149.93
"Tracy Blumstein",3083.43
"Katrina Willman",3080.00
"Sean Braxton",3059.98
"Bart Watters",3059.98
"Lena Creighton",3050.38
"Mark Cousins",3040.00
"Maria Etezadi",3023.93
"Alan Dominguez",2999.95
"Jim Epp",2999.95
"Sarah Brown",2973.32
"Bradley Drucker",2939.93
"Yoseph Carroll",2934.33
"Seth Vernon",2888.13
"Scot Coram",2887.06
"Robert Marley",2879.95
"Resi Pölking",2807.84
"Sean Christensen",2803.92
"Darrin Martin",2799.96
"Ionia McGrath",2799.96
"Natalie Webber",2799.94
"Yana Sorensen",2793.53
"Sue Ann Reed",2735.95
"Mitch Willingham",2715.93
"Denise Monton",2690.97
"Alejandro Savely",2678.94
"Lindsay Castell",2676.67
"Sarah Foster",2665.62
"Annie Thurman",2625.12
"John Lee",2624.99
"Emily Ducich",2621.32
"Grace Kelly",2575.94
"Bill Donatelli",2567.84
"Joe Elijah",2563.06
"Sharelle Roach",2549.99
"Clay Ludtke",2548.56
"Pierre Wener",2541.98
"Rick Wilson",2518.29
"Justin Deggeller",2504.74
"Juliana Krohn",2479.96
"Joel Eaton",2453.43
"Meg Tillman",2430.08
"Helen Wasserman",2405.20
"Ted Trevino",2404.70
"Heather Kirkland",2399.96
"Harold Ryan",2399.96
"Linda Cazamias",2396.40
"Anna Gayman",2396.27
"Jim Kriz",2395.20
"Erica Smith",2357.49
"Paul Prost",2348.82
"Dean percer",2321.90
"Rick Hansen",2309.65
"Corinna Mitchell",2279.96
"Anna Häberlin",2275.50
"Peter McVee",2249.91
"Thomas Boland",2249.91
"Thomas Seio",2239.94
"Luke Foster",2177.58
"Nora Paige",2154.90
"Jonathan Doherty",2104.55
"Deborah Brumfield",2079.40
"Ross Baird",2065.32
"Mary Zewe",2033.58
"Natalie Fritzler",2025.36
"Tamara Willingham",2003.92
"Charles McCrossin",2003.52
"Liz Preis",2003.17
"Dianna Wilson",2001.86
"Hunter Glantz",1999.96
"Carol Adams",1999.96
"Russell Applegate",1983.97
"Deirdre Greer",1979.89
"Justin Ellison",1951.84
"Stefania Perrino",1931.96
"Natalie DeCherney",1931.04
"Bill Eplett",1928.78
"Frank Carlisle",1927.59
"Robert Waldorf",1924.16
"Charles Crestani",1919.98
"Henry Goldwyn",1889.99
"Tonja Turnell",1879.96
"Victoria Pisteka",1875.26
"Jamie Kunitz",1871.88
"Sample Company A",1856.19
"Irene Maddox",1819.86
"Dionis Lloyd",1801.63
"Suzanne McNair",1801.63
"John Dryer",1801.63
"Jack Garza",1799.97
"Kean Thornton",1799.97
"Amy Cox",1793.98
"Shahid Collister",1781.68
"Brenda Bowman",1779.90
"Anthony Jacobs",1737.18
"Brosina Hoffman",1706.18
"Doug Jacobs",1704.56
"Giulietta Baptist",1690.04
"Katherine Murray",1687.80
"Lindsay Williams",1685.88
"Sung Pak",1684.75
"Arianne Irving",1679.96
"Rick Duston",1676.88
"Clay Rozendal",1673.18
"Michael Chen",1669.60
"Michael Paige",1652.94
"Michael Moore",1652.94
"George Zrebassa",1649.95
"Neoma Murray",1649.95
"Bobby Elias",1649.75
"Fred Chung",1640.70
"Tracy Hopkins",1633.19
"Brian Moss",1633.14
"Toby Carlisle",1628.82
"Anthony Rawles",1626.19
"Speros Goranitis",1619.91
"John Stevenson",1618.37
"Dan Campbell",1614.58
"Anne McFarland",1604.90
"Don Jones",1603.14
"Michelle Arnett",1603.14
"Jill Fjeld",1599.92
"Rose O'Brian",1598.06
"Bill Overfelt",1592.85
"Theone Pippenger",1586.69
"Christine Phan",1579.75
"Alan Hwang",1577.94
"Robert Dilbeck",1577.94
"Paul Van Hugh",1575.14
"Pamela Coakley",1573.49
"Jack O'Briant",1565.88
"Claudia Bergmann",1564.29
"Thea Hudgings",1554.94
"Scott Cohen",1552.83
"David Bremer",1548.99
"Susan Pistek",1537.07
"Nathan Cano",1525.19
"Edward Becker",1522.64
"Zuschuss Carroll",1516.20
"Michelle Huthwaite",1504.52
"Thea Hendricks",1502.38
"Frank Merwin",1499.97
"Eugene Moren",1499.95
"Maureen Gastineau",1497.67
"Allen Rosenblatt",1488.42
"Beth Thompson",1487.04
"Jeremy Lonsdale",1473.10
"Jennifer Ferguson",1471.96
"Denny Joy",1454.90
"Ivan Liston",1454.49
"George Ashbrook",1447.65
"Frank Olsen",1441.30
"Aaron Smayling",1439.98
"Christy Brittain",1439.98
"David Flashing",1439.97
"Sara Luxemburg",1439.92
"Greg Matthias",1432.00
"Mark Hamilton",1424.90
"Sanjit Jacobs",1415.76
"Deanra Eno",1408.10
"Tamara Manning",1406.86
"Sylvia Foulston",1403.92
"Stefanie Holloman",1403.92
"Chris McAfee",1399.94
"Valerie Dominguez",1399.93
"Pauline Johnson",1399.93
"Lisa DeCherney",1395.54
"Alan Schoenberger",1394.95
"Olvera Toch",1369.76
"Barry Gonzalez",1369.76
"Tom Stivers",1367.84
"Joe Kamberova",1363.96
"Rob Lucas",1362.90
"Kelly Lampkin",1359.96
"Amy Hunt",1352.40
"Mitch Webber",1349.91
"Edward Nazzal",1349.85
"Eleni McCrary",1348.70
"Neil Ducich",1347.52
"Keith Herrera",1336.83
"Alejandro Grove",1336.44
"Brian Dahlen",1325.85
"Rick Reed",1325.85
"Gary McGarr",1325.76
"Craig Leslie",1325.76
"Anna Andreadi",1323.90
"Dave Brooks",1322.93
"Karen Carlisle",1319.96
"Erin Smith",1319.80
"Frank Preis",1317.49
"Daniel Lacy",1299.99
"Brian Stugart",1297.37
"Sandra Glassco",1295.84
"Dean Katz",1295.78
"Valerie Mitchum",1294.75
"Ed Braxton",1293.49
"Karen Bern",1287.45
"Pauline Webber",1287.45
"Toby Braunhardt",1287.45
"Ann Chong",1282.41
"Tanja Norvell",1272.63
"Ben Ferrer",1270.99
"Julia Barnett",1267.65
"Philip Fox",1266.86
"James Galang",1265.85
"Randy Ferguson",1263.30
"Roland Schwarz",1261.33
"Carlos Daly",1259.97
"Ken Heidel",1259.93
"Shahid Shariari",1252.70
"Victoria Wilson",1247.64
"Nicole Hansen",1245.86
"Harold Pawlan",1242.90
"Cynthia Arntzen",1228.47
"Craig Molinari",1228.00
"Matt Collister",1218.74
"Naresj Patel",1217.57
"Shaun Weien",1217.57
"Ruben Ausman",1215.92
"Troy Staebel",1212.96
"Katherine Hughes",1207.84
"Corey Catlett",1202.94
"Lena Radford",1199.98
"Eugene Barchas",1199.98
"Ralph Arnett",1199.96
"Eileen Kiefer",1198.33
"Lauren Leatherbury",1196.86
"Anthony Johnson",1194.17
"Christina VanderZanden",1184.72
"Mick Hernandez",1169.69
"Shaun Chance",1158.12
"Matt Hagelstein",1145.60
"Paul Knutson",1141.47
"Christine Kargatis",1139.92
"Kristina Nunn",1137.75
"Ricardo Sperren",1133.35
"Cathy Hwang",1127.98
"Trudy Glocke",1125.49
"John Lucas",1119.98
"Ben Peterman",1119.89
"Mike Pelletier",1117.92
"Arthur Wiediger",1117.92
"Mike Gockenbach",1115.91
"Steven Cartwright",1114.40
"Rob Williams",1114.27
"Brendan Sweed",1113.02
"Laurel Beltran",1112.94
"Bill Tyler",1106.91
"Phillip Flathmann",1101.48
"Giulietta Dortch",1099.50
"Gene Hale",1097.54
"Matthew Grinstein",1091.17
"Jeremy Pistek",1089.75
"Dave Hallsten",1087.94
"Maribeth Dona",1080.10
"Roger Barcio",1079.85
"Trudy Brown",1079.32
"Kean Nguyen",1075.09
"Logan Currie",1071.00
"Paul MacIntyre",1056.86
"Muhammed Yedwab",1049.97
"Rob Dowd",1049.93
"Ed Jacobs",1049.44
"Rick Bensley",1049.20
"Lindsay Shagiari",1049.20
"Filia McAdams",1048.35
"Emily Burns",1044.63
"Sheri Gordon",1044.63
"Michael Kennedy",1043.92
"Jennifer Patt",1040.80
"Chloris Kastensmidt",1039.99
"Jas O'Carroll",1038.84
"Barry Französisch",1035.80
"Janet Molinari",1029.95
"Georgia Rosenberg",1025.88
"Adam Shillingsburg",1024.38
"Arthur Gainer",1023.94
"Benjamin Patterson",1022.97
"Toby Gnade",1016.79
"Ken Black",1013.83
"Tamara Dahlen",1013.49
"Philisse Overcash",1007.98
"Pauline Chand",1004.98
"Gary Hansen",1001.58
"Nora Pelletier",999.98
"Cassandra Brandow",999.43
"Brian Thompson",998.85
"Craig Carroll",991.20
"Becky Pak",989.97
"Kunst Miller",979.95
"Michael Nguyen",979.95
"Marc Crier",975.92
"Gary Zandusky",971.50
"Dave Poirier",968.74
"Kean Takahito",966.70
"Dennis Kane",965.85
"Cari Sayre",963.14
"Julia West",962.08
"Alan Haines",961.48
"Dave Kipp",959.98
"Doug Bickford",959.98
"Stephanie Ulpright",959.98
"Erica Bern",959.97
"Sean O'Donnell",957.58
"Emily Phan",956.66
"Stuart Van",946.34
"Shahid Hopkins",945.04
"Dorothy Badders",942.78
"Jack Lebron",934.96
"Frank Hawley",931.18
"Craig Carreira",917.92
"Nicole Fjeld",915.14
"Daniel Byrd",915.14
"Trudy Schmidt",913.43
"Christina Anderson",912.75
"Michael Dominguez",909.12
"Janet Martin",908.82
"Bill Stewart",906.68
"Craig Reiter",904.90
"Mike Caudle",902.71
"Eva Jacobs",901.95
"Julie Kriz",900.08
"Dianna Vittorini",899.95
"Dan Reichenbach",899.91
"Mark Packer",899.14
"Ann Blume",899.14
"Alyssa Tate",896.33
"Craig Yedwab",895.94
"William Brown",895.92
"Bradley Talbott",892.22
"Dean Braden",887.27
"Neola Schneider",887.27
"David Philippe",883.92
"Liz Thompson",881.93
"Scott Williamson",881.93
"Elpida Rittenbach",876.30
"Damala Kotsonis",872.94
"Carol Triggs",872.32
"Cynthia Delaney",868.59
"Darren Budd",866.65
"Liz Carlisle",866.40
"Mike Vittorini",863.93
"Jocasta Rupert",863.88
"Ruben Dartt",862.34
"Katherine Ducich",861.76
"Dana Kaydos",860.93
"Frank Atkinson",859.20
"Sarah Bern",858.24
"Cynthia Voltz",856.66
"Linda Southworth",854.35
"Brad Eason",848.54
"Justin Hirsh",845.73
"Brooke Gillingham",845.49
"Stewart Visinsky",844.12
"Jim Karlsson",843.90
"Arthur Prichep",842.94
"Duane Noonan",842.72
"James Lanier",842.38
"Jay Fein",842.35
"Adam Hart",841.57
"Nick Zandusky",838.38
"Maxwell Schwartz",837.60
"Maureen Gnade",835.17
"Katharine Harms",833.94
"Maris LaWare",832.93
"Ralph Kennedy",831.20
"Patrick Jones",826.11
"Justin MacKendrick",826.00
"Gary Mitchum",824.95
"Zuschuss Donatelli",823.96
"Steve Carroll",821.94
"Evan Bailliet",807.75
"Ben Wallace",806.34
"Maribeth Yedwab",801.57
"Michelle Ellison",801.57
"Matt Abelman",799.98
"Fred Harton",799.96
"Jessica Myrick",799.56
"Michael Grace",796.43
"Dario Medina",795.41
"Lisa Ryan",791.96
"Jenna Caffey",786.48
"Jill Stevenson",783.96
"Carl Ludwig",782.94
"Bruce Stewart",779.80
"Marc Harrigan",776.85
"Don Miller",772.68
"Jeremy Ellison",772.47
"Thomas Brumley",767.21
"Michelle Moray",765.63
"Mick Crebagga",763.28
"Skye Norling",762.59
"Victoria Brennan",756.80
"Liz Willingham",756.80
"Troy Blackwell",754.45
"Janet Lee",751.98
"Shirley Jackson",751.92
"Eugene Hildebrand",748.75
"Christopher Schild",743.99
"Richard Bierner",735.98
"Claire Gute",731.94
"Maya Herman",730.20
"Noah Childs",727.45
"Meg O'Connel",723.92
"Henia Zydlo",723.92
"Mary O'Rourke",722.35
